#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|PE|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Acute|Chronic|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental
@CONCEPT_FEATURES|PE_Site|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental


#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the 'Negation' feature has two values: 'affirm' and 'negated', 'affirm' is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
> 13 -days of|forward|trigger|historical|30
> 13 day of|forward|trigger|historical|30
> 13 days of|forward|trigger|historical|30
\w+ no|forward|trigger|negated|30
absence of a|backward|termination|negated|30
absence of a|forward|trigger|negated|30
absence of|backward|termination|negated|30
absence of|forward|trigger|negated|30
adequate to rule her out for|backward|termination|negated|30
adequate to rule her out for|forward|trigger|negated|30
adequate to rule her out|backward|termination|negated|30
adequate to rule her out|forward|trigger|negated|30
adequate to rule him out for|backward|termination|negated|30
adequate to rule him out for|forward|trigger|negated|30
adequate to rule him out|backward|termination|negated|30
adequate to rule him out|forward|trigger|negated|30
adequate to rule out for|backward|termination|negated|30
adequate to rule out for|forward|trigger|negated|30
adequate to rule out|backward|termination|negated|30
adequate to rule out|forward|trigger|negated|30
adequate to rule the patient out against|backward|termination|negated|30
adequate to rule the patient out against|forward|trigger|negated|30
adequate to rule the patient out for|backward|termination|negated|30
adequate to rule the patient out for|forward|trigger|negated|30
adequate to rule the patient out|backward|termination|negated|30
adequate to rule the patient out|forward|trigger|negated|30
after|both|pseudo|uncertain|30
although|forward|termination|negated|30
#Shock, resolved unknown etiology, Patient presents with encephalopathy, non focal neurologic exam, CN nerve exam WNL.
presents with|forward|termination|negated|30
presented with|forward|termination|negated|30
presents with|forward|termination|historical|30
presented with|forward|termination|historical|30

and \w+ \w+ shown|forward|termination|negated|30
and \w+ \w+ shows|forward|termination|negated|30
and \w+ \w+ show|forward|termination|negated|30
and \w+ shown|forward|termination|negated|30
and \w+ shows|forward|termination|negated|30
and \w+ show|forward|termination|negated|30
and did|forward|termination|negated|30
and he had|forward|termination|negated|30
and he was noted to have|forward|termination|negated|30
and he was|forward|termination|negated|30
and noted to have|forward|termination|negated|30
and she had|forward|termination|negated|30
and she was noted to have|forward|termination|negated|30
and she was|forward|termination|negated|30
and the patient had|forward|termination|negated|30
and the patient was|forward|termination|negated|30
and with only|forward|termination|negated|30
any other|backward|termination|negated|30
any other|forward|trigger|negated|30
#window size
#any|forward|trigger|negated|13
apart from|forward|termination|negated|30
appears to|forward|trigger|uncertain|30
are negative|backward|trigger|negated|30
are negative|forward|termination|negated|30
are no longer|backward|trigger|negated|30
are no longer|forward|termination|negated|30
are ruled out|backward|trigger|negated|30
are ruled out|forward|termination|negated|30
are stopped|backward|trigger|negated|30
are stopped|forward|termination|negated|30
as a  for|forward|termination|negated|30
as a cause for|forward|termination|negated|30
as a cause of|forward|termination|negated|30
as a etiology for|forward|termination|negated|30
as a etiology of|forward|termination|negated|30
as a reason for|forward|termination|negated|30
as a reason of|forward|termination|negated|30
as a secondary cause for|forward|termination|negated|30
as a secondary cause of|forward|termination|negated|30
as a secondary etiology for|forward|termination|negated|30
as a secondary etiology of|forward|termination|negated|30
as a secondary origin for|forward|termination|negated|30
as a secondary origin of|forward|termination|negated|30
as a secondary reason for|forward|termination|negated|30
as a secondary reason of|forward|termination|negated|30
as a secondary source for|forward|termination|negated|30
as a secondary source of|forward|termination|negated|30
as a source for|forward|termination|negated|30
as a source of|forward|termination|negated|30
as an cause for|forward|termination|negated|30
as an cause of|forward|termination|negated|30
as an etiology for|forward|termination|negated|30
as an etiology of|forward|termination|negated|30
as an origin for|forward|termination|negated|30
as an origin of|forward|termination|negated|30
as an reason for|forward|termination|negated|30
as an reason of|forward|termination|negated|30
as an secondary cause for|forward|termination|negated|30
as an secondary cause of|forward|termination|negated|30
as an secondary etiology for|forward|termination|negated|30
as an secondary etiology of|forward|termination|negated|30
as an secondary origin for|forward|termination|negated|30
as an secondary origin of|forward|termination|negated|30
as an secondary reason for|forward|termination|negated|30
as an secondary reason of|forward|termination|negated|30
as an secondary source for|forward|termination|negated|30
as an secondary source of|forward|termination|negated|30
as an source for|forward|termination|negated|30
as an source of|forward|termination|negated|30
as has|forward|termination|negated|30
as needed|forward|trigger|hypothetical|30
as the cause for|forward|termination|negated|30
as the cause of|forward|termination|negated|30
as the etiology for|forward|termination|negated|30
as the etiology of|forward|termination|negated|30
as the origin for|forward|termination|negated|30
as the origin of|forward|termination|negated|30
as the reason for|forward|termination|negated|30
as the reason of|forward|termination|negated|30
as the secondary cause for|forward|termination|negated|30
as the secondary cause of|forward|termination|negated|30
as the secondary etiology for|forward|termination|negated|30
as the secondary etiology of|forward|termination|negated|30
as the secondary origin for|forward|termination|negated|30
as the secondary origin of|forward|termination|negated|30
as the secondary reason for|forward|termination|negated|30
as the secondary reason of|forward|termination|negated|30
as the secondary source for|forward|termination|negated|30
as the secondary source of|forward|termination|negated|30
as the source for|forward|termination|negated|30
as the source of|forward|termination|negated|30
as well as any|backward|termination|negated|30
as well as any|forward|trigger|negated|30
aside from|forward|termination|negated|30
as|both|pseudo|uncertain|30
at that time|both|pseudo|uncertain|30
at this time|both|pseudo|uncertain|30
attempted|both|termination|historical|30
attempted|both|termination|nonpatient|30
attempt|both|termination|historical|30
attempt|both|termination|nonpatient|30
aunt's|forward|trigger|nonpatient|30
aunt|forward|trigger|nonpatient|30
be ruled out for|forward|trigger|uncertain|30
be ruled out|backward|trigger|uncertain|30
be stopped|backward|trigger|negated|30
be stopped|forward|termination|negated|30
because|both|termination|hypothetical|30
being ruled out|backward|trigger|uncertain|30
beyond|forward|termination|negated|30
biopsy of|forward|termination|negated|30
borderline|forward|trigger|uncertain|30
brother's|forward|trigger|nonpatient|30
brothers|forward|trigger|nonpatient|30
brother|forward|trigger|nonpatient|30
but|forward|termination|negated|30
##
but|backward|termination|negated|30
by \w+ family|both|termination|historical|30
by \w+ family|both|termination|nonpatient|30
by family|both|termination|historical|30
by family|both|termination|nonpatient|30
by the|forward|termination|negated|30
c w|both|pseudo|uncertain|30
can be ruled out for|forward|trigger|uncertain|30
can be ruled out|backward|trigger|uncertain|30
can rule her out against|backward|termination|negated|30
can rule her out against|forward|trigger|negated|30
can rule her out for|backward|termination|negated|30
can rule her out for|forward|trigger|negated|30
can rule her out|backward|termination|negated|30
can rule her out|forward|trigger|negated|30
can rule him out against|backward|termination|negated|30
can rule him out against|forward|trigger|negated|30
can rule him out for|backward|termination|negated|30
can rule him out for|forward|trigger|negated|30
can rule him out|backward|termination|negated|30
can rule him out|forward|trigger|negated|30
can rule out against|backward|termination|negated|30
can rule out against|forward|trigger|negated|30
can rule out for|backward|termination|negated|30
can rule out for|forward|trigger|negated|30
can rule out|backward|termination|negated|30
can rule out|forward|trigger|negated|30
can rule the patient out|backward|termination|negated|30
can rule the patient out|forward|trigger|negated|30
can rule the patinet out against|backward|termination|negated|30
can rule the patinet out against|forward|trigger|negated|30
can rule the patinet out for|backward|termination|negated|30
can rule the patinet out for|forward|trigger|negated|30
cannot be completely excluded|backward|trigger|uncertain|30
cannot be excluded|backward|trigger|uncertain|30
cannot be fully excluded|backward|trigger|uncertain|30
cannot see|backward|termination|negated|30
cannot see|forward|trigger|negated|30
cannot|backward|termination|negated|30
cannot|forward|trigger|negated|30
cause for|forward|termination|negated|30
cause of|forward|termination|negated|30
causes for|forward|termination|negated|30
causes of|forward|termination|negated|30
checked for|backward|termination|negated|30
checked for|forward|trigger|negated|30
clear of|backward|termination|negated|30
clear of|forward|trigger|negated|30
come back for|forward|trigger|hypothetical|30
come back to|forward|trigger|hypothetical|30
complains|both|termination|historical|30
complains|both|termination|nonpatient|30
#concern for|forward|trigger|uncertain|30
concerned about|forward|trigger|uncertain|30
concerned for|forward|trigger|uncertain|30
concerning for|forward|trigger|uncertain|30
consistent with|both|pseudo|uncertain|30
could be either|forward|trigger|uncertain|30
could be ruled out for|forward|trigger|uncertain|30
could be due to|forward|trigger|uncertain|30
could be|backward|trigger|uncertain|30
could be ruled out|termination|trigger|uncertain|30
currently|both|termination|historical|30
currently|both|termination|nonpatient|30
dad called|both|termination|historical|30
dad called|both|termination|nonpatient|30
dad's|forward|trigger|nonpatient|30
dad|forward|trigger|nonpatient|30
daughter called|both|termination|historical|30
daughter called|both|termination|nonpatient|30
daughter reported|both|termination|historical|30
daughter reported|both|termination|nonpatient|30
daughter reports|both|termination|historical|30
daughter reports|both|termination|nonpatient|30
daughters|forward|trigger|nonpatient|30
daughter|forward|trigger|nonpatient|30
decided|both|termination|historical|30
decided|both|termination|nonpatient|30
decides|both|termination|historical|30
decides|both|termination|nonpatient|30
decide|both|termination|historical|30
decide|both|termination|nonpatient|30
declined|backward|termination|negated|30
declined|forward|trigger|negated|30
declines|backward|termination|negated|30
declines|forward|trigger|negated|30
denied active|backward|termination|negated|30
denied active|forward|trigger|negated|30
denied any abnormal|backward|termination|negated|30
denied any abnormal|forward|trigger|negated|30
denied any change in the|backward|termination|negated|30
denied any change in the|forward|trigger|negated|30
denied any changes in the|backward|termination|negated|30
denied any changes in the|forward|trigger|negated|30
denied any current|backward|termination|negated|30
denied any current|forward|trigger|negated|30
denied any high risk|backward|termination|negated|30
denied any high risk|forward|trigger|negated|30
denied any high-risk|backward|termination|negated|30
denied any high-risk|forward|trigger|negated|30
denied any history of|backward|termination|negated|30
denied any history of|forward|trigger|negated|30
denied any other|backward|termination|negated|30
denied any other|forward|trigger|negated|30
denied any problems of|backward|termination|negated|30
denied any problems of|forward|trigger|negated|30
denied any problems|backward|termination|negated|30
denied any problems|forward|trigger|negated|30
denied any recent|backward|termination|negated|30
denied any recent|forward|trigger|negated|30
denied any significant|backward|termination|negated|30
denied any significant|forward|trigger|negated|30
denied any symptom of|backward|termination|negated|30
denied any symptom of|forward|trigger|negated|30
denied any symptoms of|backward|termination|negated|30
denied any symptoms of|forward|trigger|negated|30
denied any|backward|termination|negated|30
denied any|forward|trigger|negated|30
denied current|backward|termination|negated|30
denied current|forward|trigger|negated|30
denied ever|backward|termination|negated|30
denied ever|forward|trigger|negated|30
denied other symptoms of|backward|termination|negated|30
denied other symptoms of|forward|trigger|negated|30
denied problems with|backward|termination|negated|30
denied problems with|forward|trigger|negated|30
denied symptoms of|backward|termination|negated|30
denied symptoms of|forward|trigger|negated|30
denied that there was any current|backward|termination|negated|30
denied that there was any current|forward|trigger|negated|30
denied that there was any history of|backward|termination|negated|30
denied that there was any history of|forward|trigger|negated|30
denied that there was any|backward|termination|negated|30
denied that there was any|forward|trigger|negated|30
denied that there was ever history of|backward|termination|negated|30
denied that there was ever history of|forward|trigger|negated|30
denied that there was ever|backward|termination|negated|30
denied that there was ever|forward|trigger|negated|30
denied that there was history of|backward|termination|negated|30
denied that there was history of|forward|trigger|negated|30
denied that there was problems of|backward|termination|negated|30
denied that there was problems of|forward|trigger|negated|30
denied that there was problems|backward|termination|negated|30
denied that there was problems|forward|trigger|negated|30
denied that there were any history of|backward|termination|negated|30
denied that there were any history of|forward|trigger|negated|30
denied that there were any|backward|termination|negated|30
denied that there were any|forward|trigger|negated|30
denied that there were ever history of|backward|termination|negated|30
denied that there were ever history of|forward|trigger|negated|30
denied that there were ever|backward|termination|negated|30
denied that there were ever|forward|trigger|negated|30
denied that there were history of|backward|termination|negated|30
denied that there were history of|forward|trigger|negated|30
denied that there were problems of|backward|termination|negated|30
denied that there were problems of|forward|trigger|negated|30
denied that there were problems|backward|termination|negated|30
denied that there were problems|forward|trigger|negated|30
denied this|backward|termination|negated|30
denied this|forward|trigger|negated|30
denied use of other|backward|termination|negated|30
denied use of other|forward|trigger|negated|30
denied use of|backward|termination|negated|30
denied use of|forward|trigger|negated|30
denied|backward|termination|negated|30
denied|forward|trigger|negated|30
denies active|backward|termination|negated|30
denies active|forward|trigger|negated|30
denies any abnormal|backward|termination|negated|30
denies any abnormal|forward|trigger|negated|30
denies any change in the|backward|termination|negated|30
denies any change in the|forward|trigger|negated|30
denies any changes in the|backward|termination|negated|30
denies any changes in the|forward|trigger|negated|30
denies any current|backward|termination|negated|30
denies any current|forward|trigger|negated|30
denies any high risk|backward|termination|negated|30
denies any high risk|forward|trigger|negated|30
denies any high-risk|backward|termination|negated|30
denies any high-risk|forward|trigger|negated|30
denies any history of|backward|termination|negated|30
denies any history of|forward|trigger|negated|30
denies any other|backward|termination|negated|30
denies any other|forward|trigger|negated|30
denies any problems of|backward|termination|negated|30
denies any problems of|forward|trigger|negated|30
denies any problems with|backward|termination|negated|30
denies any problems with|forward|trigger|negated|30
denies any problems|backward|termination|negated|30
denies any problems|forward|trigger|negated|30
denies any recent|backward|termination|negated|30
denies any recent|forward|trigger|negated|30
denies any significant|backward|termination|negated|30
denies any significant|forward|trigger|negated|30
denies any symptom of|backward|termination|negated|30
denies any symptom of|forward|trigger|negated|30
denies any symptoms of|backward|termination|negated|30
denies any symptoms of|forward|trigger|negated|30
denies any undue|backward|termination|negated|30
denies any undue|forward|trigger|negated|30
denies any|backward|termination|negated|30
denies any|forward|trigger|negated|30
denies current|backward|termination|negated|30
denies current|forward|trigger|negated|30
denies ever|backward|termination|negated|30
denies ever|forward|trigger|negated|30
denies problems with|backward|termination|negated|30
denies problems with|forward|trigger|negated|30
denies significant|backward|termination|negated|30
denies significant|forward|trigger|negated|30
denies symptoms of|backward|termination|negated|30
denies symptoms of|forward|trigger|negated|30
denies there was any current|backward|termination|negated|30
denies there was any current|forward|trigger|negated|30
denies there was any history of|backward|termination|negated|30
denies there was any history of|forward|trigger|negated|30
denies there was any recent|backward|termination|negated|30
denies there was any recent|forward|trigger|negated|30
denies there was any|backward|termination|negated|30
denies there was any|forward|trigger|negated|30
denies there was ever history of|backward|termination|negated|30
denies there was ever history of|forward|trigger|negated|30
denies there was ever|backward|termination|negated|30
denies there was ever|forward|trigger|negated|30
denies there was history of|backward|termination|negated|30
denies there was history of|forward|trigger|negated|30
denies there was problems of|backward|termination|negated|30
denies there was problems of|forward|trigger|negated|30
denies there was problems|backward|termination|negated|30
denies there was problems|forward|trigger|negated|30
denies there were any history of|backward|termination|negated|30
denies there were any history of|forward|trigger|negated|30
denies there were any|backward|termination|negated|30
denies there were any|forward|trigger|negated|30
denies there were ever history of|backward|termination|negated|30
denies there were ever history of|forward|trigger|negated|30
denies there were ever|backward|termination|negated|30
denies there were ever|forward|trigger|negated|30
denies there were history of|backward|termination|negated|30
denies there were history of|forward|trigger|negated|30
denies there were problems of|backward|termination|negated|30
denies there were problems of|forward|trigger|negated|30
denies there were problems|backward|termination|negated|30
denies there were problems|forward|trigger|negated|30
denies this|backward|termination|negated|30
denies this|forward|trigger|negated|30
denies true|backward|termination|negated|30
denies true|forward|trigger|negated|30
denies use of other|backward|termination|negated|30
denies use of other|forward|trigger|negated|30
denies use of|backward|termination|negated|30
denies use of|forward|trigger|negated|30
denies|backward|termination|negated|30
##
denies|forward|trigger|negated|30
denise|backward|termination|negated|30
denise|forward|trigger|negated|30
denying|backward|termination|negated|30
denying|forward|trigger|negated|30
deny|backward|termination|negated|30
deny|forward|trigger|negated|30
did have|forward|termination|negated|30
did not have any episodes of|backward|termination|negated|30
did not have any episodes of|forward|trigger|negated|30
did not have any more episodes of|backward|termination|negated|30
did not have any more episodes of|forward|trigger|negated|30
did not have any problems with|backward|termination|negated|30
did not have any problems with|forward|trigger|negated|30
did not observe a|backward|termination|negated|30
did not observe a|forward|trigger|negated|30
did not rule out|backward|trigger|uncertain|30
did rule her out against|backward|termination|negated|30
did rule her out against|forward|trigger|negated|30
did rule her out for|backward|termination|negated|30
did rule her out for|forward|trigger|negated|30
did rule her out|backward|termination|negated|30
did rule her out|forward|trigger|negated|30
did rule him out against|backward|termination|negated|30
did rule him out against|forward|trigger|negated|30
did rule him out for|backward|termination|negated|30
did rule him out for|forward|trigger|negated|30
did rule him out|backward|termination|negated|30
did rule him out|forward|trigger|negated|30
did rule out against|backward|termination|negated|30
did rule out against|forward|trigger|negated|30
did rule out for|backward|termination|negated|30
did rule out for|forward|trigger|negated|30
did rule out|backward|termination|negated|30
did rule out|forward|trigger|negated|30
did rule the patient out against|backward|termination|negated|30
did rule the patient out against|forward|trigger|negated|30
did rule the patient out for|backward|termination|negated|30
did rule the patient out for|forward|trigger|negated|30
did rule the patient out|backward|termination|negated|30
did rule the patient out|forward|trigger|negated|30
did show|forward|termination|negated|30
didn't express any|backward|termination|negated|30
didn't express any|forward|trigger|negated|30
didn't expressed any|backward|termination|negated|30
didn't expressed any|forward|trigger|negated|30
didn't have any problems with|backward|termination|negated|30
didn't have any problems with|forward|trigger|negated|30
didn't report any problems with|backward|termination|negated|30
didn't report any problems with|forward|trigger|negated|30
didn't report any|backward|termination|negated|30
didn't report any|forward|trigger|negated|30
does have|forward|termination|negated|30
does not appear to have any bizarre|backward|termination|negated|30
does not appear to have any bizarre|forward|trigger|negated|30
does not appear to have any issues of|backward|termination|negated|30
does not appear to have any issues of|forward|trigger|negated|30
does not appear to have any issues with|backward|termination|negated|30
does not appear to have any issues with|forward|trigger|negated|30
does not appear to have any|backward|termination|negated|30
does not appear to have any|forward|trigger|negated|30
does not express|backward|termination|negated|30
does not express|forward|trigger|negated|30
does not use|backward|termination|negated|30
does not use|forward|trigger|negated|30
does not usually|backward|termination|negated|30
does not usually|forward|trigger|negated|30
does not|backward|termination|negated|30
does not|forward|trigger|negated|30
doesn't look like|backward|termination|negated|30
doesn't look like|forward|trigger|negated|30
doubt|forward|trigger|uncertain|30
due to|forward|termination|negated|30
ecchymoses to|forward|termination|negated|30
ed|both|termination|historical|30
emergency department|both|termination|historical|30
etiology for|forward|termination|negated|30
etiology of|forward|termination|negated|30
exacerbation from|forward|termination|negated|30
exam to assess|forward|trigger|uncertain|30
examination assess|forward|trigger|uncertain|30
examination to assess|forward|trigger|uncertain|30
examinations to assess|forward|trigger|uncertain|30
exams to assess|forward|trigger|uncertain|30
except|forward|termination|negated|30
f/h|forward|trigger|nonpatient|30
fails to reveal|backward|termination|negated|30
fails to reveal|forward|trigger|negated|30
false negative|both|pseudo|negated|30
fam hx|forward|trigger|nonpatient|30
family found|both|termination|historical|30
family found|both|termination|nonpatient|30
family history|forward|trigger|nonpatient|30
family said|both|termination|historical|30
family said|both|termination|nonpatient|30
family stated|both|termination|historical|30
family stated|both|termination|nonpatient|30
family told|both|termination|historical|30
family told|both|termination|nonpatient|30
family|forward|trigger|nonpatient|30
father called|both|termination|historical|30
father called|both|termination|nonpatient|30
father's|forward|trigger|nonpatient|30
father|forward|trigger|nonpatient|30
fh|forward|trigger|nonpatient|30
final report indication|both|pseudo|uncertain|30
for presumed|forward|trigger|uncertain|30
free air|both|pseudo|negated|30
free fluid|both|pseudo|negated|30
free of|backward|termination|negated|30
free of|forward|trigger|negated|30
free t|both|pseudo|negated|30
free wall|both|pseudo|negated|30
free water|both|pseudo|negated|30
free|backward|trigger|negated|30
from|both|pseudo|uncertain|30
given \w+ history|both|pseudo|uncertain|30
given her history|forward|termination|negated|30
given his history|forward|termination|negated|30
given patient s history|both|pseudo|uncertain|30
given that|forward|termination|negated|30
given the fact|forward|termination|negated|30
given the history|forward|termination|negated|30
given the severity of|forward|termination|negated|30
gram negative|both|pseudo|negated|30
grandfather's|forward|trigger|nonpatient|30
grandfather|forward|trigger|nonpatient|30
grandmother's|forward|trigger|nonpatient|30
grandmother|forward|trigger|nonpatient|30
h o|forward|trigger|historical|30
h o|forward|trigger|nonpatient|30
had a negative \w+ for|backward|termination|negated|30
had a negative \w+ for|forward|trigger|negated|30
has a negative \w+ for|backward|termination|negated|30
has a negative \w+ for|forward|trigger|negated|30
has been negative|backward|trigger|negated|30
has been negative|forward|termination|negated|30
has been ruled out|backward|trigger|negated|30
has been ruled out|forward|termination|negated|30
has not had any problems with|backward|termination|negated|30
has not had any problems with|forward|trigger|negated|30
has not had any problems|backward|termination|negated|30
has not had any problems|forward|trigger|negated|30
has not had any|backward|termination|negated|30
has not had any|forward|trigger|negated|30
have a negative \w+ for|backward|termination|negated|30
have a negative \w+ for|forward|trigger|negated|30
have been ruled out|backward|trigger|negated|30
have been ruled out|forward|termination|negated|30
he continued to|forward|termination|negated|30
her old|forward|termination|negated|30
his old|forward|termination|negated|30
history and examination|both|pseudo|historical|30
history and physical|both|pseudo|historical|30
history and|both|pseudo|historical|30
history for|both|pseudo|historical|30
history of|forward|trigger|historical|30
history of chief complaint|both|pseudo|historical|30
history of present illness|both|pseudo|historical|30
history physical|both|pseudo|historical|30
history taking|both|pseudo|historical|30

##
#history|forward|trigger|historical|30
however|forward|termination|negated|30
ho|forward|trigger|historical|30
hx|forward|trigger|historical|30
if negative|both|pseudo|hypothetical|30
if|forward|trigger|hypothetical|30
in her|both|pseudo|uncertain|30
in his|both|pseudo|uncertain|30
in the past|both|trigger|historical|30
in the setting of|forward|termination|negated|30
inconsistent with|backward|termination|negated|30
inconsistent with|forward|trigger|negated|30

is negative|backward|trigger|negated|30
is negative|forward|termination|negated|30
is neg|backward|trigger|negated|30
is neg|forward|termination|negated|30
is no longer|backward|trigger|negated|30
is no longer|forward|termination|negated|30

is not|backward|termination|negated|30
is not|forward|trigger|negated|30
is ruled out|backward|trigger|negated|30
is ruled out|forward|termination|negated|30
is stopped|backward|trigger|negated|30
is stopped|forward|termination|negated|30
is to be ruled out for|forward|trigger|uncertain|30
is to be ruled out|backward|trigger|uncertain|30
isn't|backward|termination|negated|30
isn't|forward|trigger|negated|30
lack of|backward|termination|negated|30
lack of|forward|trigger|negated|30
lacked|backward|termination|negated|30
lacked|forward|trigger|negated|30
last > 0 month ago|backward|trigger|historical|30
last > 0 months ago|backward|trigger|historical|30
last > 0 year ago|backward|trigger|historical|30
last > 0 years ago|backward|trigger|historical|30
last > 0 yrs ago|backward|trigger|historical|30
last > 1 week ago|backward|trigger|historical|30
last > 1 weeks ago|backward|trigger|historical|30
last april|backward|trigger|historical|30
last august|backward|trigger|historical|30
last december|backward|trigger|historical|30
last fall|backward|trigger|historical|30
last february|backward|trigger|historical|30
last january|backward|trigger|historical|30
last july|backward|trigger|historical|30
last june|backward|trigger|historical|30
last march|backward|trigger|historical|30
last may|backward|trigger|historical|30
last november|backward|trigger|historical|30
last october|backward|trigger|historical|30
last september|backward|trigger|historical|30
last spring|backward|trigger|historical|30
last summer|backward|trigger|historical|30
last winter|backward|trigger|historical|30
likely component of|forward|termination|negated|30
likely contributors to|forward|termination|negated|30
likely from|forward|termination|negated|30
likely in setting of|forward|termination|negated|30
likely reflecting|both|pseudo|uncertain|30
likely|forward|trigger|uncertain|30
look for any|forward|trigger|hypothetical|30
look for|forward|trigger|hypothetical|30
markedly|both|pseudo|uncertain|30
may be \w+ underestimated|both|pseudo|uncertain|30
may be contributing|both|pseudo|uncertain|30
may be due to|forward|trigger|uncertain|30
may be related to|both|pseudo|uncertain|30
may be ruled out for|forward|trigger|uncertain|30
may be ruled out|backward|trigger|uncertain|30
may be underestimated|both|pseudo|uncertain|30
may be unmasking|both|pseudo|uncertain|30
may be|forward|trigger|uncertain|30
may have been preceded by|forward|trigger|uncertain|30
may have|forward|trigger|uncertain|30
may represent|forward|trigger|uncertain|30
might be ruled out for|forward|trigger|uncertain|30
might be ruled out|backward|trigger|uncertain|30
might be|forward|trigger|uncertain|30
mildly|forward|termination|negated|30
mild|forward|termination|negated|30
mom called|both|termination|historical|30
mom called|both|termination|nonpatient|30
mom's|forward|trigger|nonpatient|30
mom|forward|trigger|nonpatient|30
monitor \w+ for|forward|trigger|hypothetical|30
monitor the \w+ for|forward|trigger|hypothetical|30
mother called|both|termination|historical|30
mother called|both|termination|nonpatient|30
mother's|forward|trigger|nonpatient|30
mother|forward|trigger|nonpatient|30
must be ruled out for|forward|trigger|uncertain|30
must be ruled out|backward|trigger|uncertain|30
n o|backward|termination|negated|30
n o|forward|trigger|negated|30
neg for|backward|termination|negated|30
neg for|forward|trigger|negated|30
neg.|backward|trigger|negated|30
neg.|forward|termination|negated|30
negative for|backward|termination|negated|30
negative for|forward|trigger|negated|30
neg|backward|trigger|negated|30
neg|forward|termination|negated|30
neighbor called|both|termination|historical|30
neighbor called|both|termination|nonpatient|30
neighbors called|both|termination|historical|30
neighbors called|both|termination|nonpatient|30
neighbors|forward|trigger|nonpatient|30
neighbor|forward|trigger|nonpatient|30
neighbour called|both|termination|historical|30
neighbour called|both|termination|nonpatient|30
neighbours called|both|termination|historical|30
neighbours called|both|termination|nonpatient|30
neighbours|forward|trigger|nonpatient|30
neighbour|forward|trigger|nonpatient|30
never any|backward|termination|negated|30
never any|forward|trigger|negated|30
never developed|backward|termination|negated|30
never developed|forward|trigger|negated|30
never had|backward|termination|negated|30
never had|forward|trigger|negated|30
nevertheless|forward|termination|negated|30
no \w+ evid of|backward|termination|negated|30
no \w+ evid of|forward|trigger|negated|30
no \w+ evid to suggest|backward|termination|negated|30
no \w+ evid to suggest|forward|trigger|negated|30
no \w+ evid to|backward|termination|negated|30
no \w+ evid to|forward|trigger|negated|30
